dataset,dataset_label,model,model_label,seed,attack,epsilon_255,conditional_robust_accuracy,source_count,sources
chest_xray_pneumonia,Chest X-ray,resnet18,ResNet-18,seed44,PGD,16.0,0.0,1,results/chest_xray_pneumonia/resnet18/robustness/seed44/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed42,FGSM,0.1,0.6843100189035917,2,results/chest_xray_pneumonia/resnet34/robustness/seed42/robustness_attacks_fine_max1024.json;results/chest_xray_pneumonia/resnet34/robustness/seed42/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed42,FGSM,0.15,0.6275992438563327,1,results/chest_xray_pneumonia/resnet34/robustness/seed42/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed42,FGSM,0.2,0.6068052930056711,1,results/chest_xray_pneumonia/resnet34/robustness/seed42/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed42,FGSM,0.25,0.6011342155009451,1,results/chest_xray_pneumonia/resnet34/robustness/seed42/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed42,FGSM,0.5,0.5879017013232514,1,results/chest_xray_pneumonia/resnet34/robustness/seed42/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed42,FGSM,1.0,0.5765595463137996,2,results/chest_xray_pneumonia/resnet34/robustness/seed42/robustness_attacks_fine_max1024.json;results/chest_xray_pneumonia/resnet34/robustness/seed42/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed42,PGD,0.1,0.23062381852551986,2,results/chest_xray_pneumonia/resnet34/robustness/seed42/robustness_attacks_fine_max1024.json;results/chest_xray_pneumonia/resnet34/robustness/seed42/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed42,PGD,0.15,0.054820415879017016,1,results/chest_xray_pneumonia/resnet34/robustness/seed42/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed42,PGD,0.2,0.00945179584120983,1,results/chest_xray_pneumonia/resnet34/robustness/seed42/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed42,PGD,0.25,0.003780718336483932,1,results/chest_xray_pneumonia/resnet34/robustness/seed42/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed42,PGD,0.5,0.0,1,results/chest_xray_pneumonia/resnet34/robustness/seed42/robustness_attacks_fine_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed42,PGD,1.0,0.0,2,results/chest_xray_pneumonia/resnet34/robustness/seed42/robustness_attacks_fine_max1024.json;results/chest_xray_pneumonia/resnet34/robustness/seed42/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed42,FGSM,2.0,0.6200378071833649,1,results/chest_xray_pneumonia/resnet34/robustness/seed42/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed42,FGSM,4.0,0.6540642722117203,1,results/chest_xray_pneumonia/resnet34/robustness/seed42/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed42,FGSM,8.0,0.5368620037807184,1,results/chest_xray_pneumonia/resnet34/robustness/seed42/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed42,FGSM,16.0,0.2665406427221172,1,results/chest_xray_pneumonia/resnet34/robustness/seed42/robustness_attacks_main_max1024.json
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed42,PGD,2.0,0.0,1,results/chest_xray_pneumonia/resnet34/robustness/seed42/robustness_attacks_main_max1024.json
