dataset,dataset_label,model,model_label,seed,epsilon_255,fgsm,pgd,attack_set_min,audited_envelope,adjusted_for_nonmonotonicity,max_pgd_rebound
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed43,0.5,0.7033398821218074,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed43,1.0,0.7072691552062869,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed43,2.0,0.7210216110019646,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed43,4.0,0.7426326129666012,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed43,8.0,0.7642436149312377,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed43,16.0,0.7642436149312377,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed44,0.1,0.7375478927203065,0.3448275862068966,0.3448275862068966,0.3448275862068966,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed44,0.15,0.7164750957854407,0.15517241379310345,0.15517241379310345,0.15517241379310345,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed44,0.2,0.7126436781609196,0.05938697318007663,0.05938697318007663,0.05938697318007663,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed44,0.25,0.7030651340996169,0.02490421455938697,0.02490421455938697,0.02490421455938697,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed44,0.5,0.6877394636015326,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed44,1.0,0.6819923371647509,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed44,2.0,0.6896551724137931,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed44,4.0,0.6877394636015326,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed44,8.0,0.7375478927203065,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet34,ResNet-34,seed44,16.0,0.7432950191570882,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet50,ResNet-50,seed42,0.1,0.6571969696969697,0.04734848484848485,0.04734848484848485,0.04734848484848485,False,0.42992424242424243
chest_xray_pneumonia,Chest X-ray,resnet50,ResNet-50,seed42,0.15,0.6496212121212122,0.013257575757575758,0.013257575757575758,0.013257575757575758,False,0.42992424242424243
chest_xray_pneumonia,Chest X-ray,resnet50,ResNet-50,seed42,0.2,0.6553030303030303,0.001893939393939394,0.001893939393939394,0.001893939393939394,False,0.42992424242424243
chest_xray_pneumonia,Chest X-ray,resnet50,ResNet-50,seed42,0.25,0.6628787878787878,0.0,0.0,0.0,False,0.42992424242424243
chest_xray_pneumonia,Chest X-ray,resnet50,ResNet-50,seed42,0.5,0.6988636363636364,0.0,0.0,0.0,False,0.42992424242424243
chest_xray_pneumonia,Chest X-ray,resnet50,ResNet-50,seed42,1.0,0.7310606060606061,0.0,0.0,0.0,False,0.42992424242424243
chest_xray_pneumonia,Chest X-ray,resnet50,ResNet-50,seed42,2.0,0.7310606060606061,0.0,0.0,0.0,False,0.42992424242424243
chest_xray_pneumonia,Chest X-ray,resnet50,ResNet-50,seed42,4.0,0.7310606060606061,0.0,0.0,0.0,False,0.42992424242424243
chest_xray_pneumonia,Chest X-ray,resnet50,ResNet-50,seed42,8.0,0.7310606060606061,0.30113636363636365,0.30113636363636365,0.0,True,0.42992424242424243
chest_xray_pneumonia,Chest X-ray,resnet50,ResNet-50,seed42,16.0,0.7310606060606061,0.7310606060606061,0.7310606060606061,0.0,True,0.42992424242424243
chest_xray_pneumonia,Chest X-ray,resnet50,ResNet-50,seed43,0.1,0.6392857142857142,0.008928571428571428,0.008928571428571428,0.008928571428571428,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet50,ResNet-50,seed43,0.15,0.6303571428571428,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet50,ResNet-50,seed43,0.2,0.6321428571428571,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet50,ResNet-50,seed43,0.25,0.6446428571428572,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet50,ResNet-50,seed43,0.5,0.6767857142857143,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet50,ResNet-50,seed43,1.0,0.6946428571428571,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet50,ResNet-50,seed43,2.0,0.6910714285714286,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet50,ResNet-50,seed43,4.0,0.6964285714285714,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet50,ResNet-50,seed43,8.0,0.6946428571428571,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet50,ResNet-50,seed43,16.0,0.6910714285714286,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet50,ResNet-50,seed44,0.1,0.6840148698884758,0.01858736059479554,0.01858736059479554,0.01858736059479554,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet50,ResNet-50,seed44,0.15,0.6784386617100372,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet50,ResNet-50,seed44,0.2,0.6802973977695167,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet50,ResNet-50,seed44,0.25,0.6691449814126395,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet50,ResNet-50,seed44,0.5,0.6895910780669146,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet50,ResNet-50,seed44,1.0,0.7174721189591078,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet50,ResNet-50,seed44,2.0,0.7230483271375465,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet50,ResNet-50,seed44,4.0,0.7267657992565055,0.0,0.0,0.0,False,0.0
chest_xray_pneumonia,Chest X-ray,resnet50,ResNet-50,seed44,8.0,0.7230483271375465,0.0,0.0,0.0,False,0.0
